Company,Sector,Date,index,Price,Open,High,Low,Change %,vol multiplier,Volume,Company Name,SubSector,Market Classification,Shares Outstanding,Market Cap
NB,CONSUMER GOODS,2000-05-02,4920,0.16,16.34,0.16,0.16,0.00%,1000000.0,31400000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-03,4919,0.17,16.65,0.17,0.17,6.25%,1000000.0,69500000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-05-04,4918,0.16,16.0,0.16,0.16,-5.88%,1000000.0,15810000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-05,4917,0.16,16.4,0.16,0.16,0.00%,1000000.0,29850000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-08,4916,0.16,16.44,0.16,0.16,0.00%,1000000.0,8480000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-09,4915,0.16,16.44,0.16,0.16,0.00%,1000000.0,28610000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-10,4914,0.16,16.44,0.16,0.16,0.00%,1000000.0,36770000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-11,4913,0.16,16.48,0.16,0.16,0.00%,1000000.0,33650000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-12,4912,0.17,16.54,0.17,0.17,6.25%,1000000.0,14670000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-05-15,4911,0.16,16.48,0.16,0.16,-5.88%,1000000.0,25110000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-05-16,4910,0.17,16.96,0.17,0.17,6.25%,1000000.0,67190000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-05-17,4909,0.17,17.15,0.17,0.17,0.00%,1000000.0,104850000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
